"","userId","verb","doenetId","activityCid","pageCid","pageNumber","attemptNumber","pageVariantIndex","activityVariantIndex","object","context","result","timestamp","version"
"1","b04R107fJkm6OuSg8nMjF","experienced","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{}","2022-12-12 17:46:39","0.1.1"
"2","b04R107fJkm6OuSg8nMjF","isVisible","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{""/_p1"":5,""/_p2"":5,""/_p3"":5,""/_p4"":5,""/_p5"":5,""/_p6"":5,""/_p7"":5,""/_p8"":5,""/_document1"":5}","2022-12-12 17:46:44","0.1.1"
"3","2xujTwna5d3M3I91RFBKE","experienced","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{}","2022-12-12 18:05:01","0.1.1"
"4","GOio9GSldG198azi0gWqc","experienced","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{}","2022-12-12 18:06:57","0.1.1"
"5","2xujTwna5d3M3I91RFBKE","isVisible","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{""/_p1"":17,""/_p2"":17,""/_p3"":17,""/_p4"":17,""/_p5"":17,""/_p6"":17,""/_p7"":17,""/_p8"":17,""/_document1"":17}","2022-12-12 18:05:17","0.1.1"
"6","2xujTwna5d3M3I91RFBKE","answered","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/topic1"",""componentType"":""textInput""}","{}","{""response"":""Derivaties "",""responseText"":""Derivaties ""}","2022-12-12 18:05:17","0.1.1"
"7","eUHL2l2vhBf4uU3BoFctR","experienced","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{}","2022-12-12 18:05:21","0.1.1"
"8","GOio9GSldG198azi0gWqc","isVisible","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{""/_p1"":6,""/_p2"":6,""/_p3"":6,""/_p4"":6,""/_p5"":6,""/_p6"":6,""/_p7"":6,""/_p8"":6,""/_document1"":6}","2022-12-12 18:07:03","0.1.1"
"9","2xujTwna5d3M3I91RFBKE","answered","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/topic1"",""componentType"":""textInput""}","{}","{""response"":""Derivatives"",""responseText"":""Derivatives""}","2022-12-12 18:05:23","0.1.1"
"10","eUHL2l2vhBf4uU3BoFctR","isVisible","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{""/_p1"":6,""/_p2"":6,""/_p3"":6,""/_p4"":6,""/_p5"":6,""/_p6"":6,""/_p7"":6,""/_p8"":6,""/_document1"":6}","2022-12-12 18:05:27","0.1.1"
"11","2xujTwna5d3M3I91RFBKE","answered","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/topic2"",""componentType"":""textInput""}","{}","{""response"":""Autonomous equations  "",""responseText"":""Autonomous equations  ""}","2022-12-12 18:05:34","0.1.1"
"12","2xujTwna5d3M3I91RFBKE","answered","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/topic3"",""componentType"":""textInput""}","{}","{""response"":""Integrals "",""responseText"":""Integrals ""}","2022-12-12 18:05:38","0.1.1"
"13","2xujTwna5d3M3I91RFBKE","submitted","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_answer1"",""componentType"":""answer""}","{""item"":1,""itemCreditAchieved"":1,""pageCreditAchieved"":1}","{""response"":[""Derivatives"",""Autonomous equations  "",""Integrals "","""","""",""""],""responseText"":[""Derivatives"",""Autonomous equations  "",""Integrals "","""","""",""""],""creditAchieved"":1}","2022-12-12 18:05:40","0.1.1"
"14","GOio9GSldG198azi0gWqc","answered","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/topic1"",""componentType"":""textInput""}","{}","{""response"":""SIR Infectious Models "",""responseText"":""SIR Infectious Models ""}","2022-12-12 18:07:22","0.1.1"
"15","GOio9GSldG198azi0gWqc","isVisible","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{""/_p1"":9,""/_p2"":9,""/_p3"":9,""/_p4"":9,""/_p5"":9,""/_p6"":9,""/_p7"":9,""/_p8"":9,""/_document1"":9}","2022-12-12 18:07:22","0.1.1"
"16","2xujTwna5d3M3I91RFBKE","isVisible","_cS2ugu5HWEgETk3GlSlj3","bafkreibk7oc42j6cxcioqcymvp2jvnry6pssqmxp2syz67vqglj5rkdxou","bafkreiboex456jhx6lwpe5lweind3rahvg3tinscnnjkliealw3vitp4xq","1","1","1","1","{""componentName"":""/_document1"",""componentType"":""document""}","{}","{""/_p1"":24,""/_p2"":24,""/_p3"":24,""/_p4"":24,""/_p5"":24,""/_p6"":24,""/_p7"":24,""/_p8"":24,""/_document1"":24}","2022-12-12 18:05:41","0.1.1"
